name,medianPayDiff,section,clean_name,highlight
TLC CARE HOMES LIMITED,0,Human health and social work activities,Tlc Care Homes,
TMD FRICTION UK LIMITED,11.2,Manufacturing,Tmd Friction Uk,
Tonbridge & Malling Borough Council,33.6,Public Sector,Tonbridge & Malling Borough Council,
Tonbridge & Malling Borough Council,33.6,Public administration and defence; compulsory social security,Tonbridge & Malling Borough Council,
Torquay Boys' Grammar School,44.2,Public Sector,Torquay Boys' Grammar School,
Torquay Boys' Grammar School,44.2,Education,Torquay Boys' Grammar School,
TOSHIBA TEC U.K. IMAGING SYSTEMS LIMITED,3.1,Manufacturing,Toshiba Tec U.k. Imaging Systems,
TOTAL PEOPLE LIMITED,14.1,Education,Total People,
Tove Learning Trust,26.6,Public Sector,Tove Learning Trust,
Tove Learning Trust,26.6,Education,Tove Learning Trust,
Tower Hamlets College,13.6,Public Sector,Tower Hamlets College,
Tower Hamlets College,13.6,Education,Tower Hamlets College,
TOYOTA MOTOR MANUFACTURING (UK) LIMITED,-6.4,Manufacturing,Toyota Motor Manufacturing,
Toyota(G.B.) PLC,29.7,Wholesale and retail trade; repair of motor vehicles and motorcycles,Toyota(g.b.),
TQ EDUCATION AND TRAINING LIMITED,33,Education,Tq Education And Training,
TRAC PRECISION MACHINING LIMITED,20.7,Manufacturing,Trac Precision Machining,
Tracsis PLC,15.8,Information and communication,Tracsis,
TRADEBE MANAGEMENT LIMITED,-0.1,"Water supply, sewerage, waste management and remediation activities",Tradebe Management,
Trafford College,1.9,Public Sector,Trafford College,
Trafford College,1.9,Education,Trafford College,
TRAINLINE.COM LIMITED,23,Information and communication,Trainline.com,
Transform Trust,30.2,Public Sector,Transform Trust,
Transform Trust,30.2,Education,Transform Trust,
TRAVAIL EMPLOYMENT GROUP LIMITED,-3.4,"Professional, scientific and technical activities",Travail Employment Group,
TRAVAIL EMPLOYMENT GROUP LIMITED,-3.4,Administrative and support service activities,Travail Employment Group,
TRAVELEX UK LIMITED,13,Other service activities,Travelex Uk,
Travers Smith Employment Services,39.1,"Professional, scientific and technical activities",Travers Smith Employment Services,
Travers Smith Employment Services,39.1,Administrative and support service activities,Travers Smith Employment Services,
TRELLEBORG OFFSHORE UK LIMITED,12.4,Manufacturing,Trelleborg Offshore Uk,
TRELOAR TRUST,-3,Education,Treloar Trust,
TRELOAR TRUST,-3,Human health and social work activities,Treloar Trust,
TRG LOGISTICS LTD,21,Administrative and support service activities,Trg Logistics,
Trinity Multi Academy Trust,44.7,Public Sector,Trinity Multi Academy Trust,
Trinity Multi Academy Trust,44.7,Education,Trinity Multi Academy Trust,
TRIPP LIMITED,0,Wholesale and retail trade; repair of motor vehicles and motorcycles,Tripp,
Tru (Transitional Rehabilitation Unit) Ltd,0,Human health and social work activities,Tru (transitional Rehabilitation Unit),
TRUCKEAST LIMITED,20.3,Wholesale and retail trade; repair of motor vehicles and motorcycles,Truckeast,
Truro & Penwith Academy Trust,43.5,Public Sector,Truro & Penwith Academy Trust,
Truro & Penwith Academy Trust,43.5,Education,Truro & Penwith Academy Trust,
Truro and Penwith College,14.1,Public Sector,Truro And Penwith College,
Trust In Learning (Academies),17.8,Public Sector,Trust In Learning (academies),
Trust In Learning (Academies),17.8,Education,Trust In Learning (academies),
Trustees for Roman Catholic Purposes,-1.5,Other service activities,Trustees For Roman Catholic Purposes,
TSB BANK PLC,24,Financial and insurance activities,Tsb Bank,
TT ELECTRONICS INTEGRATED MANUFACTURING SERVICES LIMITED,25.4,Manufacturing,Tt Electronics Integrated Manufacturing Services,
TUI AIRWAYS LIMITED,47.3,Transportation and storage,Tui Airways,
TUI UK LIMITED,31.4,Administrative and support service activities,Tui Uk,
TUI UK RETAIL LIMITED,2.6,Administrative and support service activities,Tui Uk Retail,
TULIP LIMITED,8,Manufacturing,Tulip,
Tullow Oil PLC,49,Mining and Quarrying,Tullow Oil,
TURBINE SURFACE TECHNOLOGIES LIMITED,9.4,Manufacturing,Turbine Surface Technologies,
TUV SUD LIMITED,29,"Professional, scientific and technical activities",Tuv Sud,
TVS SUPPLY CHAIN SOLUTIONS LIMITED,7,Wholesale and retail trade; repair of motor vehicles and motorcycles,Tvs Supply Chain Solutions,
TVS SUPPLY CHAIN SOLUTIONS LIMITED,7,Transportation and storage,Tvs Supply Chain Solutions,
TWENTY FOUR SEVEN RECRUITMENT SERVICES LIMITED,0,Administrative and support service activities,Twenty Four Seven Recruitment Services,
TWINKL LTD,-3,Education,Twinkl,
TWINMAR LIMITED,0,Wholesale and retail trade; repair of motor vehicles and motorcycles,Twinmar,
TWO COUNTIES CLEANING SERVICES LIMITED,0,Administrative and support service activities,Two Counties Cleaning Services,
Twyford Church of England Academies Trust,15.8,Public Sector,Twyford Church Of England Academies Trust,
Twyford Church of England Academies Trust,15.8,Education,Twyford Church Of England Academies Trust,
Twynham Learning,23.3,Public Sector,Twynham Learning,
Twynham Learning,23.3,Education,Twynham Learning,
UBM (UK) LIMITED,19.6,Administrative and support service activities,Ubm,
UCC COFFEE UK LIMITED,16.8,Wholesale and retail trade; repair of motor vehicles and motorcycles,Ucc Coffee Uk,
UK Armed Forces,0.2,Public Sector,Uk Armed Forces,
UK Export Finance,16.3,Public Sector,Uk Export Finance,
UK MAIL LIMITED,-1.5,Transportation and storage,Uk Mail,
UK POWER NETWORKS (OPERATIONS) LIMITED,18.3,"Electricity, gas, steam and air conditioning supply",Uk Power Networks (operations),
UK POWER NETWORKS (SOUTH EAST SERVICES) LIMITED,2.9,Administrative and support service activities,Uk Power Networks (south East Services),
UK SHARED BUSINESS SERVICES LIMITED,19.6,"Professional, scientific and technical activities",Uk Shared Business Services,
ULTRA ELECTRONICS LIMITED,26.6,Manufacturing,Ultra Electronics,
UMBRELLA-COMPANY LIMITED,-3.7,"Professional, scientific and technical activities",Umbrella-company,
UNILEVER U.K. CENTRAL RESOURCES LIMITED,14.9,"Professional, scientific and technical activities",Unilever U.k. Central Resources,
UNILEVER U.K. CENTRAL RESOURCES LIMITED,14.9,Administrative and support service activities,Unilever U.k. Central Resources,
UNILEVER UK LIMITED,-1.3,Manufacturing,Unilever Uk,
UNION OF UEA STUDENTS LIMITED,0.6,Other service activities,Union Of Uea Students,
UNISYS LIMITED,-0.4,Information and communication,Unisys,
Unite Integrated Solutions PLC,12.4,Real estate activities,Unite Integrated Solutions,
UNITED BISCUITS (UK) LIMITED,9.3,Manufacturing,United Biscuits,
UNITED KINGDOM ANTI-DOPING LIMITED,3.1,Information and communication,United Kingdom Anti-doping,
UNITED KINGDOM ANTI-DOPING LIMITED,3.1,"Professional, scientific and technical activities",United Kingdom Anti-doping,
UNITED KINGDOM ANTI-DOPING LIMITED,3.1,Public administration and defence; compulsory social security,United Kingdom Anti-doping,
UNITED KINGDOM ANTI-DOPING LIMITED,3.1,Education,United Kingdom Anti-doping,
United Lincolnshire Hospitals Nhs Trust,13.2,Public Sector,United Lincolnshire Hospitals Nhs Trust,
United Lincolnshire Hospitals Nhs Trust,13.2,Human health and social work activities,United Lincolnshire Hospitals Nhs Trust,
United Response,0.4,Other service activities,United Response,
United Utilities Group PLC,15.9,"Professional, scientific and technical activities",United Utilities Group,
United Utilities PLC,16.7,"Professional, scientific and technical activities",United Utilities,
UNITED UTILITIES WATER LIMITED,15.2,"Water supply, sewerage, waste management and remediation activities",United Utilities Water,
UNITRUST PROTECTION SERVICES (U.K.) LIMITED,-3.3,Administrative and support service activities,Unitrust Protection Services,
University Of Bath,17.9,Public Sector,University Of Bath,
University Of Bath,17.9,Education,University Of Bath,
UNIVERSITY OF BEDFORDSHIRE ENTERPRISES LIMITED,13.7,Public Sector,University Of Bedfordshire Enterprises,
UNIVERSITY OF BEDFORDSHIRE ENTERPRISES LIMITED,13.7,Education,University Of Bedfordshire Enterprises,
UNIVERSITY OF BRADFORD(THE),21.1,Public Sector,University Of Bradford(the),
UNIVERSITY OF BRADFORD(THE),21.1,Education,University Of Bradford(the),
UNIVERSITY OF BRIGHTON TRADING COMPANY LIMITED,16.3,Public Sector,University Of Brighton Trading Company,
UNIVERSITY OF BRIGHTON TRADING COMPANY LIMITED,16.3,Accommodation and food service activities,University Of Brighton Trading Company,
UNIVERSITY OF BRIGHTON TRADING COMPANY LIMITED,16.3,"Professional, scientific and technical activities",University Of Brighton Trading Company,
UNIVERSITY OF BRIGHTON TRADING COMPANY LIMITED,16.3,Administrative and support service activities,University Of Brighton Trading Company,
UNIVERSITY OF BRIGHTON TRADING COMPANY LIMITED,16.3,Education,University Of Brighton Trading Company,
University Of Bristol,16.2,Public Sector,University Of Bristol,
University Of Bristol,16.2,Education,University Of Bristol,
University of Central Lancashire,8.4,Public Sector,University Of Central Lancashire,
University of Chester,18.5,Education,University Of Chester,
University Of Derby,13.5,Public Sector,University Of Derby,
University Of Derby,13.5,"Professional, scientific and technical activities",University Of Derby,
University Of Derby,13.5,Education,University Of Derby,
University Of Gloucestershire,18.5,Public Sector,University Of Gloucestershire,
University Of Gloucestershire,18.5,Education,University Of Gloucestershire,
University of Hertfordshire,19,Public Sector,University Of Hertfordshire,
University of Hertfordshire,19,Education,University Of Hertfordshire,
University Of Kent,9.8,Public Sector,University Of Kent,
University Of Kent,9.8,Education,University Of Kent,
University Of Liverpool,19,Public Sector,University Of Liverpool,
University Of Liverpool,19,Education,University Of Liverpool,
University of Southampton,17.4,Public Sector,University Of Southampton,
University Of Southampton Students' Union,0.4,Education,University Of Southampton Students' Union,
University Of Suffolk Ltd,14.1,Education,University Of Suffolk,
University of Sunderland,20.9,Public Sector,University Of Sunderland,
University of Sunderland,20.9,Education,University Of Sunderland,
University of Surrey,13.7,Public Sector,University Of Surrey,
University of Sussex,15.3,Public Sector,University Of Sussex,
University of Sussex,15.3,Education,University Of Sussex,
"University of the Arts, London",7.1,Public Sector,"University Of The Arts, London",
"University of the Arts, London",7.1,Education,"University Of The Arts, London",
University of the West of England,11,Public Sector,University Of The West Of England,
University of York,17.7,Public Sector,University Of York,
University of York,17.7,Education,University Of York,
Unum European Holding Co. Ltd.,17.5,Financial and insurance activities,Unum European Holding Co.,
Upwood Primary School,34.8,Public Sector,Upwood Primary School,
UTILITA ENERGY LIMITED,2.6,"Electricity, gas, steam and air conditioning supply",Utilita Energy,
UTILITA TELESALES LIMITED,0,Administrative and support service activities,Utilita Telesales,
Uttlesford District Council,-3.3,Public Sector,Uttlesford District Council,
Uttlesford District Council,-3.3,Public administration and defence; compulsory social security,Uttlesford District Council,
VACHERIN LIMITED,8.7,Accommodation and food service activities,Vacherin,
Vale Academy Trust,21,Public Sector,Vale Academy Trust,
Vale Academy Trust,21,Education,Vale Academy Trust,
Van Hage & Co. (Holdings) Ltd.,0,Wholesale and retail trade; repair of motor vehicles and motorcycles,Van Hage & Co. (holdings),
VANTEC EUROPE LIMITED,-3.9,Transportation and storage,Vantec Europe,
VAUXHALL MOTORS LIMITED,2.2,Manufacturing,Vauxhall Motors,
Veka PLC,-5.1,Manufacturing,Veka,
VENTRUS LIMITED,34.9,Education,Ventrus,
VERASTAR LIMITED,7.5,Information and communication,Verastar,
Vertiv Infrastructure Ltd,23,Manufacturing,Vertiv Infrastructure,
VICTREX MANUFACTURING LIMITED,13.5,Manufacturing,Victrex Manufacturing,
VIGILANT SECURITY (SCOTLAND) LIMITED,-0.6,Administrative and support service activities,Vigilant Security (scotland),
VIRGIN MEDIA LIMITED,17.4,Information and communication,Virgin Media,
VIRGIN MONEY PLC,38.4,Financial and insurance activities,Virgin Money,
Vision Academy Learning Trust,41.5,Public Sector,Vision Academy Learning Trust,
VISION FOR EDUCATION LIMITED,16.7,Administrative and support service activities,Vision For Education,
VISION SECURITY GROUP LIMITED,1,Administrative and support service activities,Vision Security Group,
VISION-REDBRIDGE CULTURE & LEISURE,0,"Arts, entertainment and recreation",Vision-redbridge Culture & Leisure,
VITA CELLULAR FOAMS (UK) LIMITED,16.7,Manufacturing,Vita Cellular Foams,
Vivacity Culture And Leisure,-2.8,"Arts, entertainment and recreation",Vivacity Culture And Leisure,
VIVIENNE WESTWOOD LIMITED,0,Wholesale and retail trade; repair of motor vehicles and motorcycles,Vivienne Westwood,
VODAFONE GLOBAL ENTERPRISE LIMITED,17.1,Information and communication,Vodafone Global Enterprise,
VODAFONE GROUP SERVICES LIMITED,7.1,Information and communication,Vodafone Group Services,
VODAFONE LIMITED,18.3,Manufacturing,Vodafone,
VODAFONE LIMITED,18.3,Information and communication,Vodafone,
Voestalpine Metsec PLC,4.7,Manufacturing,Voestalpine Metsec,
Voluntary Service Overseas,4.5,Education,Voluntary Service Overseas,
Voluntary Service Overseas,4.5,Human health and social work activities,Voluntary Service Overseas,
Voluntary Service Overseas,4.5,Other service activities,Voluntary Service Overseas,
W. & G. HARRISON LIMITED,10.1,Accommodation and food service activities,W. & G. Harrison,
WALES HIGH SCHOOL ACADEMY TRUST,21.1,Education,Wales High School Academy Trust,
WALKER MORRIS RESOURCES LIMITED,24.1,"Professional, scientific and technical activities",Walker Morris Resources,
WALKER MORRIS RESOURCES LIMITED,24.1,Administrative and support service activities,Walker Morris Resources,
WALKERS SNACK FOODS LIMITED,10.1,Administrative and support service activities,Walkers Snack Foods,
